"","x"
"1","alamo square"
"2","castro"
"3","civic / van ness"
"4","cole valley"
"5","financial district"
"6","hayes valley"
"7","hunters point"
"8","lower haight"
"9","lower pac hts"
"10","marina / cow hollow"
"11","mission district"
"12","nob hill"
"13","noe valley"
"14","NOPA"
"15","north beach / telegraph hill"
"16","pacific heights"
"17","potrero hill"
"18","presidio hts / laurel hts / lake st"
"19","russian hill"
"20","SOMA / south beach"
"21","tenderloin"
"22","twin peaks"
"23","western addition"
