"V1","V2"
-122.406225999566,37.7975590002938
-122.405512999538,37.7970650003937
-122.405317999927,37.797090000219
-122.404770000138,37.7971600004023
-122.404057999881,37.797249999927
-122.403675999749,37.7972979997692
-122.402886999711,37.7973959996853
-122.402041000077,37.7975050000275
-122.400863000434,37.7976539997557
-122.4006809995,37.796777000063
-122.400485999692,37.7958749999654
-122.400413000131,37.795447999777
-122.400328999656,37.7950130001296
-122.400238999635,37.7945749996263
-122.400149000015,37.7941339998014
-122.401315000139,37.793987000334
-122.40215999997,37.7938799996872
-122.40295700052,37.7937800003516
-122.404016000271,37.7936460001255
-122.40461300005,37.7935649999153
-122.404418000506,37.7926389995786
-122.405653999981,37.7924870004401
-122.405938000454,37.7924510003286
-122.406718000477,37.7923519998198
-122.407512999826,37.7922519998599
-122.407536000341,37.7922489998394
-122.408089000505,37.7921789998232
-122.408363999588,37.7921410000121
-122.408863999469,37.7920800001622
-122.409171000005,37.7920429998346
-122.409257999784,37.7924690002034
-122.409360999526,37.792971000201
-122.409488000118,37.793555999702
-122.409535999701,37.7937769999417
-122.40954100043,37.7938519998575
-122.409722000014,37.794736999695
-122.41007300043,37.7946900003164
-122.410537999893,37.7946309998337
-122.411363999957,37.7945269996067
-122.411471999538,37.7950609999687
-122.411541999768,37.795409000347
-122.41163000031,37.7958510000123
-122.411718999814,37.7962909998295
-122.411883000349,37.7971049996869
-122.411887999992,37.7971320000536
-122.412073999945,37.7980570002724
-122.412096000207,37.7981649998795
-122.412283000339,37.7990959999499
-122.412408000482,37.7997179999459
-122.412417999641,37.7997650000088
-122.412471000545,37.8000319995661
-122.412530000245,37.8003230002083
-122.412660000411,37.8009649995733
-122.412753999521,37.8014299998277
-122.412849000038,37.8018930001764
-122.412908000404,37.802183999665
-122.412541000233,37.8019309997964
-122.411376000334,37.8011249998639
-122.410954000401,37.8008329998869
-122.410207000142,37.8003149998626
-122.409014000305,37.799489999715
-122.407869000223,37.798697000001
-122.407083000518,37.798152000338
-122.406668000287,37.7978650001013
-122.406225999566,37.7975590002938
