"","block","lot","street_number","street_name","street_suffix","new_units_built","year","month"
"1","5721","77",349,"RICHLAND","AV",1,"2015","10"
"2","3706","93",706,"MISSION","ST",169,"2015","10"
"3","251","14",1280,"PINE","ST",1,"2015","10"
"4","2693","35",183,"EUREKA","ST",1,"2015","10"
"5","3518","6",248,"09TH","ST",15,"2015","10"
"6","3518","7",252,"09TH","ST",15,"2015","10"
"7","1686","33",834,"44TH","AV",1,"2015","10"
"8","2802","36",873,"ALVARADO","ST",1,"2015","10"
"9","3726","62",532,"NATOMA","ST",1,"2015","10"
"10","3533","44",150,"CLINTON","PK",1,"2015","10"
"11","693","22",1051,"POST","ST",1,"2015","10"
"12","505","18",1637,"LOMBARD","ST",1,"2015","10"
"13","1073","13",800,"PRESIDIO","AV",50,"2015","10"
"14","1524","018A",2930,"ANZA","ST",1,"2015","10"
"15","1050","006B",1825,"SCOTT","ST",1,"2015","10"
"16","7512","10",38,"CAMEO","WY",1,"2015","10"
"17","2317","016G",2132,"SANTIAGO","ST",1,"2015","10"
"18","5403","35",2082,"BANCROFT","AV",1,"2015","10"
"19","5673","39",3415,"MISSION","ST",1,"2015","10"
"20","3546","25",455,"14TH","ST",2,"2015","10"
"21","0463A","13",162,"ALHAMBRA","ST",1,"2015","10"
"22","0463A","13",164,"ALHAMBRA","ST",1,"2015","10"
"23","793","103",400,"GROVE","ST",32,"2015","10"
"24","4095","18",896,"DE HARO","ST",2,"2015","10"
"25","5525","33",1529,"TREAT","AV",1,"2015","10"
"26","3625","011A",3930,"23RD","ST",1,"2015","10"
"27","3625","011A",3932,"23RD","ST",1,"2015","10"
"28","3625","011A",3930,"23RD","ST",1,"2015","10"
"29","3625","011A",3932,"23RD","ST",1,"2015","10"
"30","2614","3",260,"CASTRO","ST",1,"2015","10"
"31","1259","24",35,"ALPINE","TR",1,"2015","10"
"32","1254","19",210,"FREDERICK","ST",1,"2015","10"
"33","753","11",1012,"SCOTT","ST",1,"2015","10"
"34","753","11",1014,"SCOTT","ST",1,"2015","10"
"35","7086","6",263,"ARCH","ST",1,"2015","10"
"36","7086","6",263,"ARCH","ST",1,"2015","10"
"37","6581","60",1350,"NOE","ST",1,"2015","10"
"38","3637","3",1110,"SOUTH VAN NESS","AV",1,"2015","10"
"39","3637","3",1110,"SOUTH VAN NESS","AV",1,"2015","10"
"40","1726","15",1271,"24TH","AV",1,"2015","10"
"41","1726","15",1273,"24TH","AV",1,"2015","10"
"42","3541","50",24,"HENRY","ST",1,"2015","10"
"43","1801","40",1322,"47TH","AV",1,"2015","10"
"44","837","3",1,"FRANKLIN","ST",35,"2015","10"
"45","837","3",1,"FRANKLIN","ST",35,"2015","10"
"46","1101","20",2177,"O'FARRELL","ST",1,"2015","10"
"47","1101","20",2179,"O'FARRELL","ST",1,"2015","10"
"48","1073","56",800,"PRESIDIO","AV",50,"2015","10"
"49","1073","56",800,"PRESIDIO","AV",50,"2015","10"
"50","1073","56",800,"PRESIDIO","AV",50,"2015","10"
"51","2187","001E",2123,"30TH","AV",1,"2015","10"
"52","1835","10",1451,"18TH","AV",1,"2015","10"
"53","1835","10",1453,"18TH","AV",1,"2015","10"
"54","852","8",172,"HAIGHT","ST",2,"2015","10"
"55","3575","63",3249,"17TH","ST",1,"2015","10"
"56","2959","7",234,"TERESITA","BL",1,"2015","10"
"57","4591C","45",551,"HUDSON","AV",9,"2015","10"
"58","5708","3",410,"ANDOVER","ST",1,"2015","10"
"59","1227","24",600,"STANYAN","ST",4,"2015","10"
"60","1074","10",2522,"POST","ST",1,"2015","10"
"61","1074","10",2524,"POST","ST",1,"2015","10"
"62","6582","39",4221,"CESAR CHAVEZ","ST",1,"2015","10"
"63","6582","40",4221,"CESAR CHAVEZ","ST",1,"2015","10"
"64","5615","66",15,"PETERS","AV",1,"2015","10"
"65","3598","28",651,"DOLORES","ST",4,"2015","10"
"66","7331","239",181,"SUMMIT","WY",2,"2015","10"
"67","7331","240",179,"SUMMIT","WY",2,"2015","10"
"68","7331","189",210,"SUMMIT","WY",2,"2015","10"
"69","7331","190",212,"SUMMIT","WY",2,"2015","10"
"70","7331","187",206,"SUMMIT","WY",2,"2015","10"
"71","7331","188",208,"SUMMIT","WY",2,"2015","10"
"72","7331","241",183,"SUMMIT","WY",2,"2015","10"
"73","7331","242",185,"SUMMIT","WY",2,"2015","10"
"74","1286","24",1318,"COLE","ST",1,"2015","10"
"75","6553","4",1286,"SANCHEZ","ST",1,"2015","10"
"76","629","37",2155,"WEBSTER","ST",77,"2015","10"
"77","629","37",2155,"WEBSTER","ST",77,"2015","10"
"78","1407","3",323,"26TH","AV",1,"2015","10"
"79","830","14",500,"BUCHANAN","ST",1,"2015","10"
"80","830","14",500,"BUCHANAN","ST",1,"2015","10"
"81","4145","12",2356,"BRYANT","ST",1,"2015","10"
"82","4145","12",2358,"BRYANT","ST",1,"2015","10"
"83","4145","12",2356,"BRYANT","ST",1,"2015","10"
"84","4145","12",2358,"BRYANT","ST",1,"2015","10"
"85","3753","106",923,"FOLSOM","ST",115,"2015","10"
"86","2362","19",2332,"TARAVAL","ST",1,"2015","10"
"87","2362","19",2332,"TARAVAL","ST",1,"2015","10"
"88","1118","3",930,"BAKER","ST",2,"2015","10"
"89","3789","972",72,"TOWNSEND","ST",74,"2015","10"
"90","3650","37",1105,"CHURCH","ST",1,"2015","10"
"91","3650","37",1105,"CHURCH","ST",1,"2015","10"
"92","3650","37",1107,"CHURCH","ST",1,"2015","10"
"93","6800","41",274,"SILVER","AV",1,"2015","10"
"94","541","14",2828,"WEBSTER","ST",1,"2015","10"
"95","3514","33",140,"SOUTH VAN NESS","AV",1,"2015","10"
"96","3158","33",371,"STAPLES","AV",1,"2015","10"
"97","1222","28",1565,"OAK","ST",1,"2015","10"
"98","7331","243",189,"SUMMIT","WY",2,"2015","10"
"99","7331","244",187,"SUMMIT","WY",2,"2015","10"
"100","7331","191",216,"SUMMIT","WY",2,"2015","10"
"101","7331","192",218,"SUMMIT","WY",2,"2015","10"
"102","7331","193",220,"SUMMIT","WY",2,"2015","10"
"103","7331","194",222,"SUMMIT","WY",2,"2015","10"
"104","7331","245",191,"SUMMIT","WY",2,"2015","10"
"105","7331","246",193,"SUMMIT","WY",2,"2015","10"
"106","826","18",949,"FELL","ST",2,"2015","10"
